1314, 29, ORL, IND, 1, 
1314, 53, SAS, MEM, -1, 
1314, 53, BRK, MIN, 1, 
1314, 53, CLE, NOP, 1, 
1314, 53, MIL, PHI, 1, 
1314, 53, CHI, POR, 1, 
1314, 53, WAS, TOR, 1, 
1314, 54, BOS, ATL, -1, 
1314, 54, DAL, DEN, 1, 
1314, 54, POR, GSW, -1, 
1314, 54, MIN, HOU, 1, 
1314, 54, PHI, IND, 1, 
1314, 54, SAC, LAC, 1, 
1314, 54, ORL, MIA, 1, 
1314, 54, CHO, MIL, -1, 
1314, 54, CLE, SAS, 1, 
1314, 54, NYK, WAS, 1, 
1314, 55, DET, BRK, -1, 
1314, 55, CHI, LAC, 1, 
1314, 55, SAC, LAL, 1, 
1314, 55, UTA, OKC, 1, 
1314, 55, PHO, ORL, -1, 
1314, 56, BOS, CHO, -1, 
1314, 56, DEN, DAL, -1, 
1314, 56, MIL, DET, 1, 
1314, 56, MIN, IND, 1, 
1314, 56, HOU, MEM, -1, 
1314, 56, PHO, MIA, 1, 
1314, 56, NYK, POR, 1, 
1314, 56, NOP, SAS, 1, 
1314, 56, CHI, UTA, 1, 
1314, 57, ORL, ATL, -1, 
1314, 57, GSW, NOP, -1, 
1314, 57, BRK, TOR, -1, 
1314, 57, LAL, WAS, 1, 
1314, 58, MEM, BOS, -1, 
1314, 58, LAL, BRK, -1, 
1314, 58, IND, CHO, -1, 
1314, 58, MIA, CLE, -1, 
1314, 58, GSW, DAL, 1, 
1314, 58, CHI, DET, -1, 
1314, 58, ATL, HOU, 1, 
1314, 58, NYK, LAC, 1, 
1314, 58, WAS, MIL, -1, 
1314, 58, DEN, MIN, -1, 
1314, 58, SAS, OKC, 1, 
1314, 58, PHI, ORL, 1, 
1314, 58, POR, PHO, 1, 
1314, 60, DAL, ATL, 1, 
1314, 60, CLE, BOS, 1, 
1314, 60, MIL, CHO, 1, 
1314, 60, NYK, DEN, 1, 
1314, 60, LAL, DET, -1, 
1314, 60, BRK, HOU, 1, 
1314, 60, WAS, IND, 1, 
1314, 60, GSW, OKC, 1, 
1314, 60, SAS, ORL, -1, 
1314, 60, NOP, PHI, -1, 
1314, 60, LAC, SAC, -1, 
1314, 60, MIA, TOR, -1, 
1314, 60, PHO, UTA, -1, 
1314, 61, CHI, CLE, 1, 
1314, 61, MIN, DAL, -1, 
1314, 61, BRK, MEM, -1, 
1314, 61, BOS, MIL, 1, 
1314, 61, UTA, PHO, -1, 
1314, 61, HOU, SAS, -1, 
1314, 61, ATL, WAS, 1, 
1314, 62, PHI, DET, 1, 
1314, 62, IND, LAC, -1, 
1314, 62, POR, LAL, -1, 
1314, 62, CHO, MIA, 1, 
1314, 62, NOP, NYK, -1, 
1314, 62, MIN, OKC, 1, 
1314, 62, GSW, SAC, -1, 
1314, 62, DEN, TOR, -1, 
1314, 63, NOP, CHI, -1, 
1314, 63, IND, POR, 1, 
1314, 63, ATL, SAS, 1, 
1314, 63, HOU, UTA, 1, 
1314, 63, ORL, WAS, 1, 
1314, 64, MIL, BOS, 1, 
1314, 64, DEN, BRK, -1, 
1314, 64, CHO, DAL, 1, 
1314, 64, TOR, GSW, 1, 
1314, 64, PHO, MEM, 1, 
1314, 64, DET, MIA, -1, 
1314, 64, ORL, PHI, 1, 
1314, 64, OKC, SAC, -1, 
1314, 65, LAC, ATL, 1, 
1314, 65, DEN, CLE, 1, 
1314, 65, PHO, HOU, -1, 
1314, 65, DET, MIL, -1, 
1314, 65, DAL, NOP, -1, 
1314, 65, OKC, POR, 1, 
1314, 65, IND, UTA, -1, 
1314, 66, NYK, BRK, -1, 
1314, 66, MIA, CHI, 1, 
1314, 66, LAC, MEM, -1, 
1314, 67, CLE, ATL, 1, 
1314, 67, DEN, BOS, 1, 
1314, 67, PHI, CHO, 1, 
1314, 67, GSW, HOU, 1, 
1314, 67, OKC, NOP, -1, 
1314, 67, ORL, NYK, 1, 
1314, 67, TOR, PHO, 1, 
1314, 67, UTA, POR, 1, 
1314, 67, LAL, SAC, -1, 
1314, 67, MIL, WAS, -1, 
1314, 68, DET, CHI, -1, 
1314, 68, LAC, CLE, 1, 
1314, 68, GSW, MEM, -1, 
1314, 68, BRK, MIL, -1, 
1314, 68, MIA, MIN, -1, 
1314, 68, DEN, PHI, -1, 
1314, 68, DAL, POR, -1, 
1314, 68, IND, SAS, -1, 
1314, 68, SAC, UTA, -1, 
1314, 69, MIA, DET, -1, 
1314, 69, ORL, HOU, 1, 
1314, 69, TOR, LAL, -1, 
1314, 69, BOS, NYK, -1, 
1314, 69, IND, OKC, 1, 
1314, 70, GSW, CHO, 1, 
1314, 70, ORL, MEM, 1, 
1314, 70, LAC, PHI, -1, 
1314, 70, DAL, SAC, 1, 
1314, 70, POR, UTA, -1, 
1314, 70, DEN, WAS, -1, 
1314, 71, OKC, ATL, -1, 
1314, 71, BOS, BRK, 1, 
1314, 71, MIL, CHI, -1, 
1314, 71, NYK, CLE, 1, 
1314, 71, MIN, DET, -1, 
1314, 71, MIA, IND, 1, 
1314, 71, PHO, LAL, -1, 
1314, 71, SAS, TOR, -1, 
1314, 72, LAC, BOS, -1, 
1314, 72, ORL, CHO, -1, 
1314, 72, DAL, GSW, 1, 
1314, 72, OKC, MEM, -1, 
1314, 72, SAS, MIL, -1, 
1314, 72, PHI, MIN, 1, 
1314, 72, DET, NOP, 1, 
1314, 72, CHI, NYK, 1, 
1314, 72, UTA, SAC, -1, 
1314, 73, LAC, BRK, 1, 
1314, 73, HOU, POR, 1, 
1314, 74, WAS, ATL, 1, 
1314, 74, NYK, BOS, 1, 
1314, 74, UTA, DEN, -1, 
1314, 74, BRK, DET, 1, 
1314, 74, HOU, GSW, -1, 
1314, 74, CHO, IND, 1, 
1314, 74, CHI, MIL, -1, 
1314, 74, MEM, NOP, 1, 
1314, 74, LAL, OKC, 1, 
1314, 74, CLE, ORL, -1, 
1314, 74, SAC, PHO, 1, 
1314, 74, MIN, SAS, 1, 
1314, 74, PHI, TOR, 1, 
1314, 75, LAL, CHO, -1, 
1314, 75, TOR, CHI, -1, 
1314, 75, MIL, DAL, 1, 
1314, 75, CLE, MIA, 1, 
1314, 75, ATL, NYK, 1, 
1314, 75, POR, PHI, -1, 
1314, 75, SAS, UTA, -1, 
1314, 75, LAC, WAS, -1, 
1314, 76, NOP, DEN, 1, 
1314, 76, POR, DET, -1, 
1314, 76, MIN, MEM, -1, 
1314, 76, ORL, OKC, 1, 
1314, 76, GSW, PHO, 1, 
1314, 76, HOU, SAC, 1, 
1314, 77, LAL, ATL, 1, 
1314, 77, MIN, BOS, 1, 
1314, 77, PHI, BRK, 1, 
1314, 77, ORL, CHI, -1, 
1314, 77, DET, IND, -1, 
1314, 77, SAS, LAC, 1, 
1314, 77, UTA, MIA, 1, 
1314, 77, WAS, NYK, -1, 
1314, 78, SAC, CHO, 1, 
1314, 78, POR, CLE, -1, 
1314, 78, OKC, DEN, -1, 
1314, 78, NOP, GSW, 1, 
1314, 78, LAL, MEM, -1, 
1314, 79, SAC, ATL, 1, 
1314, 79, DET, BOS, -1, 
1314, 79, WAS, BRK, -1, 
1314, 79, MEM, DAL, 1, 
1314, 79, CHI, HOU, 1, 
1314, 79, NOP, LAC, 1, 
1314, 79, IND, MIA, 1, 
1314, 79, NYK, MIL, -1, 
1314, 79, POR, MIN, 1, 
1314, 79, UTA, ORL, -1, 
1314, 79, SAS, PHO, -1, 
1314, 79, CHO, TOR, -1, 
1314, 80, SAS, GSW, -1, 
1314, 80, CHI, OKC, 1, 
1314, 81, UTA, ATL, 1, 
1314, 81, MIL, CLE, 1, 
1314, 81, TOR, DAL, -1, 
1314, 81, PHO, DEN, -1, 
1314, 81, CHO, DET, -1, 
1314, 81, HOU, IND, 1, 
1314, 81, MIN, LAL, 1, 
1314, 81, SAC, MIA, 1, 
1314, 81, BRK, PHI, 1, 
1314, 82, WAS, BOS, -1, 
1314, 82, UTA, CHO, -1, 
1314, 82, CLE, CHI, 1, 
1314, 82, HOU, DET, -1, 
1314, 82, LAL, GSW, 1, 
1314, 82, DEN, LAC, 1, 
1314, 82, PHI, MIL, 1, 
1314, 82, MEM, NYK, -1, 
1314, 82, SAC, ORL, -1, 
1314, 82, DAL, PHO, 1, 
1314, 82, NOP, POR, 1, 
1314, 82, OKC, SAS, -1, 
1314, 83, BOS, IND, 1, 
1314, 83, MIN, LAC, 1, 
1314, 83, TOR, OKC, -1, 
1314, 84, IND, BRK, -1, 
1314, 84, MIL, CHO, 1, 
1314, 84, DET, CLE, -1, 
1314, 84, GSW, DEN, -1, 
1314, 84, DAL, HOU, -1, 
1314, 84, UTA, MEM, 1, 
1314, 84, ATL, MIA, 1, 
1314, 84, NYK, ORL, -1, 
1314, 84, LAL, PHO, 1, 
1314, 84, NOP, SAC, -1, 
1314, 84, TOR, SAS, 1, 
1314, 86, CHI, BRK, -1, 
1314, 86, LAC, GSW, 1, 
1314, 86, MIA, LAL, -1, 
1314, 86, OKC, NYK, -1, 
1314, 86, HOU, SAS, -1, 
1314, 87, ATL, CLE, -1, 
1314, 87, SAS, DAL, -1, 
1314, 87, MEM, HOU, 1, 
1314, 87, LAC, POR, 1, 
1314, 88, MIL, BRK, 1, 
1314, 88, OKC, CHO, -1, 
1314, 88, PHO, GSW, 1, 
1314, 88, WAS, MIN, 1, 
1314, 88, DEN, NOP, 1, 
1314, 88, TOR, NYK, -1, 
1314, 88, DET, ORL, 1, 
1314, 88, MIA, SAC, 1, 
1314, 88, LAL, UTA, 1, 
1314, 89, CHO, ATL, 1, 
1314, 89, CLE, BOS, 1, 
1314, 89, DAL, CHI, -1, 
1314, 89, NOP, HOU, 1, 
1314, 89, BRK, IND, 1, 
1314, 89, UTA, LAC, 1, 
1314, 89, DEN, MEM, 1, 
1314, 89, MIN, MIL, -1, 
1314, 89, PHI, PHO, 1, 
1314, 89, MIA, POR, -1, 
1314, 89, NYK, TOR, 1, 
1314, 89, DET, WAS, 1, 
1314, 90, GSW, CLE, -1, 
1314, 90, PHI, LAL, -1, 
1314, 90, HOU, OKC, 1, 
1314, 90, ATL, ORL, 1, 
1314, 90, SAC, SAS, 1, 
1314, 91, MIA, DEN, -1, 
1314, 91, WAS, DET, -1, 
1314, 91, PHO, LAC, -1, 
1314, 91, CHI, MEM, -1, 
1314, 91, DAL, MIN, -1, 
1314, 91, POR, NOP, 1, 
1314, 91, CHO, UTA, 1, 
1314, 92, ATL, BOS, -1, 
1314, 92, TOR, CHI, -1, 
1314, 92, SAC, HOU, -1, 
1314, 92, CLE, IND, 1, 
1314, 92, MIL, LAL, -1, 
1314, 92, POR, OKC, -1, 
1314, 92, GSW, ORL, -1, 
1314, 92, BRK, SAS, 1, 
1314, 93, PHI, DEN, -1, 
1314, 93, CHO, LAC, 1, 
1314, 93, NOP, MIN, 1, 
1314, 93, IND, TOR, 1, 
1314, 93, DAL, WAS, -1, 
1314, 94, BOS, CHI, 1, 
1314, 94, ORL, CLE, 1, 
1314, 94, GSW, MIA, -1, 
1314, 94, BRK, OKC, -1, 
1314, 94, MEM, PHO, -1, 
1314, 94, CHO, POR, 1, 
1314, 94, PHI, SAC, -1, 
1314, 94, NYK, SAS, -1, 
1314, 94, MIL, UTA, 1, 
1314, 95, GSW, ATL, -1, 
1314, 95, NOP, BOS, -1, 
1314, 95, LAC, DAL, -1, 
1314, 95, MEM, DEN, 1, 
1314, 95, NYK, HOU, 1, 
1314, 95, UTA, LAL, 1, 
1314, 95, TOR, WAS, -1, 
1314, 96, CLE, BRK, 1, 
1314, 96, ATL, CHI, 1, 
1314, 96, NOP, IND, 1, 
1314, 96, OKC, MIN, -1, 
1314, 96, MIA, ORL, -1, 
1314, 96, MIL, PHO, 1, 
1314, 96, PHI, POR, -1, 
1314, 96, CHO, SAC, -1, 
1314, 96, LAC, SAS, 1, 
1314, 97, IND, CLE, -1, 
1314, 97, NYK, DAL, -1, 
1314, 97, MEM, DET, -1, 
1314, 97, DEN, LAL, -1, 
1314, 97, TOR, MIA, 1, 
1314, 97, BOS, OKC, 1, 
1314, 97, GSW, WAS, -1, 
1314, 98, ATL, BRK, 1, 
1314, 98, ORL, LAC, 1, 
1314, 98, MIN, PHI, -1, 
1314, 99, WAS, CHO, -1, 
1314, 99, PHO, CHI, 1, 
1314, 99, PHI, CLE, 1, 
1314, 99, LAL, DAL, 1, 
1314, 99, BOS, DEN, 1, 
1314, 99, TOR, IND, 1, 
1314, 99, SAS, MEM, -1, 
1314, 99, NOP, MIA, 1, 
1314, 99, GSW, MIL, -1, 
1314, 99, DET, NYK, 1, 
1314, 99, POR, SAC, 1, 
1314, 99, OKC, UTA, 1, 
1314, 100, IND, ATL, 1, 
1314, 100, GSW, BRK, 1, 
1314, 100, LAL, HOU, 1, 
1314, 100, BOS, LAC, 1, 
1314, 100, PHO, MIN, -1, 
1314, 100, WAS, NOP, -1, 
1314, 100, ORL, POR, 1, 
1314, 100, DAL, SAS, 1, 
1314, 100, DET, TOR, 1, 
1314, 101, OKC, DEN, 1, 
1314, 101, MIA, NYK, 1, 
1314, 102, HOU, ATL, 1, 
1314, 102, MIA, BRK, 1, 
1314, 102, BOS, GSW, 1, 
1314, 102, WAS, IND, 1, 
1314, 102, LAL, LAC, 1, 
1314, 102, PHO, MEM, 1, 
1314, 102, CHI, MIL, -1, 
1314, 102, CHO, MIN, 1, 
1314, 102, DAL, NOP, -1, 
1314, 102, DET, PHI, -1, 
1314, 102, ORL, SAC, 1, 
1314, 102, CLE, UTA, -1, 
1314, 103, CHO, CHI, 1, 
1314, 103, NOP, DAL, 1, 
1314, 103, ORL, DEN, 1, 
1314, 103, PHO, DET, 1, 
1314, 103, MIL, OKC, 1, 
1314, 103, NYK, PHI, -1, 
1314, 103, BOS, POR, 1, 
1314, 103, BRK, TOR, 1, 
1314, 103, HOU, WAS, -1, 
1314, 104, ATL, MEM, 1, 
1314, 104, CLE, SAC, 1, 
1314, 104, MIN, SAS, 1, 
1314, 105, HOU, BOS, -1, 
1314, 105, WAS, CHI, -1, 
1314, 105, ORL, DAL, 1, 
1314, 105, SAS, NOP, -1, 
1314, 105, PHO, NYK, 1, 
1314, 105, MIL, TOR, 1, 
1314, 105, DEN, UTA, 1, 
1314, 106, NYK, CHO, 1, 
1314, 106, SAC, IND, 1, 
1314, 106, CLE, LAL, -1, 
1314, 106, OKC, MEM, 1, 
1314, 107, TOR, BOS, 1, 
1314, 107, DEN, GSW, -1, 
1314, 107, DAL, LAC, 1, 
1314, 107, MEM, MIL, -1, 
1314, 107, SAC, MIN, -1, 
1314, 107, HOU, NOP, -1, 
1314, 107, CHI, ORL, -1, 
1314, 107, CHO, PHI, 1, 
1314, 107, LAL, PHO, 1, 
1314, 107, CLE, POR, 1, 
1314, 107, UTA, SAS, 1, 
1314, 107, MIA, WAS, 1, 
1314, 108, BRK, ATL, -1, 
1314, 108, OKC, HOU, -1, 
1314, 108, NYK, IND, 1, 
1314, 109, LAL, BOS, -1, 
1314, 109, CLE, DEN, -1, 
1314, 109, UTA, DET, -1, 
1314, 109, SAC, MEM, 1, 
1314, 109, LAC, NYK, -1, 
1314, 109, GSW, OKC, 1, 
1314, 109, CHO, ORL, -1, 
1314, 109, MIA, PHI, -1, 
1314, 109, DAL, PHO, -1, 
1314, 109, POR, SAS, -1, 
1314, 109, MIN, TOR, 1, 
1314, 109, CHI, WAS, 1, 
1314, 110, MIA, CHO, -1, 
1314, 110, PHI, CHI, 1, 
1314, 110, POR, DAL, -1, 
1314, 110, MIL, HOU, 1, 
1314, 110, LAC, IND, 1, 
1314, 110, UTA, MIN, 1, 
1314, 110, GSW, NOP, -1, 
1314, 110, DET, WAS, -1, 
1314, 111, SAC, OKC, 1, 
1314, 111, BOS, ORL, 1, 
1314, 111, DEN, PHO, 1, 
1314, 111, MIL, SAS, 1, 
1314, 111, LAL, TOR, -1, 
1314, 112, MIA, ATL, 1, 
1314, 112, TOR, CHO, 1, 
1314, 112, LAL, CHI, 1, 
1314, 112, DAL, CLE, -1, 
1314, 112, LAC, DET, -1, 
1314, 112, IND, GSW, -1, 
1314, 112, POR, HOU, 1, 
1314, 112, NOP, MEM, -1, 
1314, 112, BRK, NYK, -1, 
1314, 112, PHI, WAS, 1, 
1314, 113, ORL, BRK, 1, 
1314, 113, BOS, MIA, 1, 
1314, 113, SAC, NOP, -1, 
1314, 113, POR, OKC, 1, 
1314, 113, MIN, UTA, -1, 
1314, 114, LAC, CHO, 1, 
1314, 114, CHI, CLE, -1, 
1314, 114, SAC, HOU, 1, 
1314, 114, DET, MIL, 1, 
1314, 114, PHI, NYK, -1, 
1314, 114, ATL, ORL, -1, 
1314, 114, IND, PHO, 1, 
1314, 114, OKC, SAS, -1, 
1314, 114, DAL, TOR, 1, 
1314, 114, BOS, WAS, -1, 
1314, 115, LAL, MIA, 1, 
1314, 115, DEN, POR, 1, 
1314, 116, SAS, ATL, -1, 
1314, 116, OKC, BOS, -1, 
1314, 116, DAL, BRK, 1, 
1314, 116, LAC, CHI, -1, 
1314, 116, MIL, CLE, 1, 
1314, 116, NOP, DET, -1, 
1314, 116, MIN, GSW, -1, 
1314, 116, MEM, HOU, -1, 
1314, 116, CHO, NYK, 1, 
1314, 116, LAL, ORL, 1, 
1314, 116, TOR, PHI, -1, 
1314, 116, WAS, PHO, -1, 
1314, 116, IND, SAC, -1, 
1314, 117, CHI, CHO, -1, 
1314, 117, IND, DEN, 1, 
1314, 117, HOU, MEM, 1, 
1314, 117, ATL, MIL, -1, 
1314, 117, OKC, PHI, -1, 
1314, 117, MIN, POR, 1, 
1314, 117, LAC, TOR, -1, 
1314, 117, WAS, UTA, 1, 
1314, 118, BRK, BOS, -1, 
1314, 118, PHO, CLE, -1, 
1314, 118, DET, DAL, 1, 
1314, 118, POR, GSW, 1, 
1314, 118, SAS, MIA, 1, 
1314, 118, ORL, NOP, 1, 
1314, 118, LAL, NYK, 1, 
1314, 118, DEN, SAC, -1, 
1314, 119, TOR, BRK, -1, 
1314, 119, MIN, CHI, -1, 
1314, 119, LAC, MIL, -1, 
1314, 119, ATL, OKC, 1, 
1314, 119, PHO, PHI, -1, 
1314, 119, SAC, UTA, 1, 
1314, 120, NOP, CLE, -1, 
1314, 120, ORL, DET, 1, 
1314, 120, WAS, GSW, -1, 
1314, 120, SAS, HOU, 1, 
1314, 120, IND, LAL, -1, 
1314, 120, BOS, NYK, 1, 
1314, 120, MEM, POR, -1, 
1314, 121, PHI, BOS, -1, 
1314, 121, HOU, DAL, -1, 
1314, 121, CHO, DEN, -1, 
1314, 121, WAS, LAC, 1, 
1314, 121, OKC, MIA, -1, 
1314, 121, PHO, MIL, -1, 
1314, 121, NOP, MIN, 1, 
1314, 121, MEM, SAC, -1, 
1314, 121, CHI, SAS, -1, 
1314, 121, ORL, TOR, 1, 
1314, 122, LAC, GSW, 1, 
1314, 122, PHO, IND, -1, 
1314, 122, CLE, NYK, 1, 
1314, 123, OKC, BRK, -1, 
1314, 123, SAC, DAL, 1, 
1314, 123, TOR, DEN, -1, 
1314, 123, CHO, LAL, -1, 
1314, 123, MEM, MIN, -1, 
1314, 123, MIL, ORL, 1, 
1314, 123, ATL, PHI, -1, 
1314, 123, GSW, UTA, -1, 
1314, 124, MIN, ATL, 1, 
1314, 124, PHI, DET, 1, 
1314, 124, CLE, HOU, 1, 
1314, 124, BRK, IND, 1, 
1314, 124, UTA, LAC, 1, 
1314, 124, MIL, MEM, 1, 
1314, 124, CHI, NOP, 1, 
1314, 124, MIA, NYK, -1, 
1314, 124, CHO, PHO, 1, 
1314, 124, TOR, POR, 1, 
1314, 124, SAC, SAS, 1, 
1314, 124, OKC, WAS, 1, 
1314, 125, ORL, BOS, 1, 
1314, 126, PHI, BRK, 1, 
1314, 126, CLE, DAL, 1, 
1314, 126, LAC, DEN, 1, 
1314, 126, ORL, IND, 1, 
1314, 126, DET, MIA, 1, 
1314, 126, NYK, MIL, 1, 
1314, 126, SAS, NOP, -1, 
1314, 126, MEM, OKC, 1, 
1314, 126, CHI, SAC, 1, 
1314, 126, TOR, UTA, -1, 
1314, 126, POR, WAS, 1, 
1314, 127, IND, ATL, -1, 
1314, 127, CHO, GSW, -1, 
1314, 127, LAL, MIN, 1, 
1314, 127, CHI, PHO, -1, 
1314, 128, LAL, CLE, -1, 
1314, 128, MIL, DEN, 1, 
1314, 128, PHO, HOU, 1, 
1314, 128, MIA, LAC, -1, 
1314, 128, DAL, MEM, -1, 
1314, 128, ATL, NOP, 1, 
1314, 128, POR, NYK, -1, 
1314, 128, MIN, OKC, 1, 
1314, 128, DET, ORL, 1, 
1314, 128, BOS, PHI, -1, 
1314, 128, TOR, SAC, 1, 
1314, 128, SAS, WAS, -1, 
1314, 129, SAS, BRK, 1, 
1314, 129, CHI, GSW, 1, 
1314, 130, SAC, BOS, 1, 
1314, 130, UTA, DAL, 1, 
1314, 130, BRK, DET, 1, 
1314, 130, POR, IND, 1, 
1314, 130, TOR, LAC, 1, 
1314, 130, MIN, NOP, 1, 
1314, 130, DEN, NYK, 1, 
